28,116.038,0,0,1591.88,0,6.95174e-310,
28,116.038,0,0,1591.88,0,0,
28,116.038,-1.96165e-06,0,1591.88,7.44453,-2.27626,
28,116.037,-5.78019e-06,-0.0593314,1591.9,14.8883,-4.43096,
28,116.037,-1.13551e-05,-0.174828,1591.93,22.3313,-6.47058,
28,116.036,-1.85914e-05,-0.343456,1591.99,29.7736,-8.40133,
28,116.035,-2.73992e-05,-0.56235,1592.06,37.2152,-10.2291,
28,116.034,-3.76932e-05,-0.828799,1592.14,44.656,-11.9593,
28,116.032,-4.93931e-05,-1.14024,1592.24,52.0961,-13.5973,
28,116.031,-6.24226e-05,-1.49426,1592.35,59.5354,-15.1481,
28,116.029,-7.67096e-05,-1.88857,1592.47,66.9739,-16.6162,
28,116.027,-9.2186e-05,-2.321,1592.61,74.4118,-18.0061,
28,116.025,-0.000108787,-2.7895,1592.75,81.8489,-19.322,
28,116.023,-0.000126452,-3.29214,1592.91,89.2852,-20.5679,
28,116.021,-0.000145122,-3.82708,1593.07,96.7208,-21.7476,
28,116.019,-0.000164744,-4.3926,1593.25,104.156,-22.8644,
28,116.017,-0.000185265,-4.98705,1593.43,111.59,-23.9219,
28,116.014,-0.000206636,-5.60889,1593.62,119.023,-24.9231,
28,116.011,-0.00022881,-6.25664,1593.82,126.456,-25.8712,
28,116.009,-0.000251745,-6.92891,1594.02,133.888,-26.7688,
28,116.006,-0.000275398,-7.6244,1594.24,141.319,-27.6188,
28,116.003,-0.000299729,-8.34185,1594.45,148.749,-28.4236,
28,116,-0.000324703,-9.08009,1594.68,156.179,-29.1857,
28,115.997,-0.000350282,-9.83801,1594.91,163.608,-29.9073,
27.9999,115.994,-0.000376435,-10.6145,1595.14,171.036,-30.5906,
27.9999,115.991,-0.000403129,-11.4087,1595.38,178.463,-31.2377,
27.9999,115.988,-0.000430334,-12.2195,1595.63,185.89,-31.8504,
27.9999,115.985,-0.000458023,-13.0461,1595.88,193.316,-32.4306,
27.9999,115.981,-0.000486168,-13.8877,1596.13,200.741,-32.9801,
27.9999,115.978,-0.000514743,-14.7433,1596.39,208.166,-33.5005,
27.9999,115.975,-0.000543726,-15.6124,1596.65,215.59,-33.9933,
27.9999,115.971,-0.000573093,-16.494,1596.91,223.013,-34.46,
27.9999,115.968,-0.000602822,-17.3877,1597.18,230.435,-34.902,
27.9999,115.964,-0.000632894,-18.2927,1597.45,237.856,-35.3206,
27.9999,115.961,-0.000663288,-19.2084,1597.72,245.277,-35.7171,
27.9998,115.957,-0.000693988,-20.1342,1598,252.697,-36.0927,
27.9998,115.953,-0.000724975,-21.0696,1598.28,260.116,-36.4484,
27.9998,115.95,-0.000756233,-22.0141,1598.56,267.535,-36.7853,
27.9998,115.946,-0.000787746,-22.9671,1598.84,274.953,-37.1045,
27.9998,115.942,-0.000819501,-23.9283,1599.13,282.37,-37.4069,
